id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
1001102,10,Delaware,DE,Sussex County,Bridgeville,Bridgeville,Town,place,19933,302,11997551,0,38.724822,-75.602701,96156.3704295493,82184,103302.110435468+0i,1005
1001104,10,Delaware,DE,Kent County,Dover,Camden,Town,place,19904,302,9584269,0,39.099032,-75.55696,105188.29181194,105109,95327.490175314+0i,1275
1001106,10,Delaware,DE,New Castle County,Claymont,Claymont,CDP,place,19703,302,5568821,0,39.80317,-75.460483,119438.832224578,93164,133991.601981618+0i,3529
1001108,10,Delaware,DE,New Castle County,Clayton,Clayton,Town,place,19938,302,4753597,0,39.274462,-75.630991,0,0,0+0i,0
1001110,10,Delaware,DE,New Castle County,New Castle,Delaware City city,City,place,19720,302,3186317,203881,39.579708,-75.59516,94223.2723318268,87124,98309.1977283754+0i,703
1001112,10,Delaware,DE,Sussex County,Rehoboth Beach,Dewey Beach,Town,place,19971,302,856730,0,38.695716,-75.075198,169230.726238407,175393,177602.857841466+0i,137
1001114,10,Delaware,DE,Kent County,Dover,Dover Base Housing,CDP,place,19901,302,1914068,6124,39.11707,-75.484056,86498.5825529161,80019,89211.8841691914+0i,1150
1001116,10,Delaware,DE,Sussex County,Lincoln,Ellendale,Town,place,19960,302,1144972,0,38.810245,-75.424895,62024.2305027293,64210,29757.9702126097+0i,118
1001118,10,Delaware,DE,Kent County,Harrington,Farmington,Town,place,19952,302,211023,0,38.869955,-75.579292,49428.779606974,53535,49067.0397159432+0i,26
1001120,10,Delaware,DE,Sussex County,Ocean View,Fenwick Island,Town,place,19970,302,852338,402943,38.459766,-75.053286,167716.837356975,170138,176190.997474127+0i,221
1001122,10,Delaware,DE,Kent County,Frederica,Frederica,Town,place,19946,302,4978127,0,39.008063,-75.465919,128402.163744497,111380,135007.128804353+0i,342
1001124,10,Delaware,DE,New Castle County,Newark,Glasgow,CDP,place,19702,302,25706144,0,39.601548,-75.747349,144808.189872596,132196,148037.10995448+0i,4995
1001126,10,Delaware,DE,Sussex County,Greenwood,Greenwood,Town,place,19950,302,1873311,0,38.806845,-75.590667,107081.963726769,91179,119581.593731367+0i,430
1001128,10,Delaware,DE,Kent County,Hartly,Hartly,Town,place,19953,302,153003,0,39.168376,-75.712346,172634.291350977,300000,185212.186255863+0i,24
1001130,10,Delaware,DE,Kent County,Camden,Highland Acres,CDP,place,19934,302,3881075,115233,39.116265,-75.518288,150733.525786962,135799,156456.189602856+0i,1414
1001132,10,Delaware,DE,Kent County,Milford,Houston,Town,place,19963,302,867342,0,38.917715,-75.504106,108498.578224642,102343,113450.600603236+0i,146
1001134,10,Delaware,DE,Kent County,Clayton,Kenton,Town,place,19938,302,487207,0,39.227274,-75.664585,81606.6505674168,91388,81414.6523764823+0i,95
1001136,10,Delaware,DE,Kent County,Dover,Leipsic,Town,place,19901,302,756202,69391,39.240519,-75.515469,65398.3056690269,76268,58526.2279685154+0i,59
1001138,10,Delaware,DE,Kent County,Dover,Little Creek,Town,place,19901,302,359486,0,39.166194,-75.44801,91324.056336497,97209,86049.9237715188+0i,63
1001140,10,Delaware,DE,Kent County,Magnolia,Magnolia,Town,place,19962,302,308340,0,39.071796,-75.475747,67732.0015649575,300000,58952.6226231385+0i,79
1001142,10,Delaware,DE,Kent County,Milford,Milford city,City,place,19963,302,25177804,226861,38.909787,-75.422301,86145.2291002327,82964,94497.1384471257+0i,1542
1001144,10,Delaware,DE,Sussex County,Millsboro,Millsboro,Town,place,19966,302,9624434,608161,38.586608,-75.300853,84480.1696972851,75231,90027.5470204339+0i,1655
1001146,10,Delaware,DE,Sussex County,Milton,Milton,Town,place,19968,302,4670693,254575,38.775148,-75.309904,121648.639298977,95918,135230.393878956+0i,1178
